iPhone 7	128GB	Black	Katja	1	Attention: No connection on this seller line	2017-11-07	de	The iPhone 7 is perfect in my view - except for a trifle: phoning does not work. According to my research on the internet, it turns out that some (maybe a batch) has catastrophic voice quality. I am not to be understood in the approach for my interlocutor. Noise, background noise, choppy, etc. The seller, I have been written several times> no answer. The iPhone 7 is therefore a gamble. It may be that you are lucky and get a usable model. One thing I can say but: with this provider, there is no service. Not even an answer!	0
iPhone 8	64GB	Argent 	SuzieQ	2	Supplied by A-Mountain: Vodafone (!) IPhone 8 with deviating item no. !!!	2018-07-06	de	Offered and ordered was a vendor neutral (!) IPhone MQ6H2ZD / A 8 64 GB silver. After a delivery time of 2 days, I received the device with unofficial glued serial or article numbers. Conspicuous was the conformity guarantee of the company Vodafone (!) In Italian. It may indeed be that the devices for the different EU countries do not differ technically, but no one guarantees me that on the device not pre-installed Vodafone software or apps that you either do not want or may not get off the device. Therefore, I do not necessarily agree with a pre-review on the safety of deviating article numbers. Everyone likes to assess the risk for themselves, for high-priced items, I simply expect a correct settlement (ordered = delivered). The item is therefore zurück.Verpackung and delivery time flawless.	0
iPhone 8	64GB	Space Gray	Isabelle Schwarz	4	Best smartphone	2018-09-04	de	Just Hamma! I already have my phone for a year and it still works fine.	0
iPhone XS	64GB	Space Gray	Marlene S.	3	Vibration function does not work.	2019-02-23	de	My conversion was from an Iphone SE to this model - of course there are worlds in between. Super photos, modern features, etc. Unfortunately, it turns out that the vibration function does not work and it is not due to a software problem.	0
iPhone 7	128GB	Gold	Cliente Amazon	3	THAT ANXIETY ...	2017-01-06	it	The product is o.k. while the expedition did not return within the established time, creating me a certain anxiety, given the amount spent and the need to receive it in time to make a gift.	0
iPhone 7	128GB	Black	j0k3r	5	Perfect	2019-02-25	fr	The phone was new, never used. Perfect.	0
iPhone XS	256GB	Space Gray	Jay Jay	1	False promises!	2019-07-11	de	Apple advertises the iPhone XS with an IP68 certification. But does not guarantee it. This is fraud in my eyes!	0
iPhone 8	64GB	Gold	Alina123	3	Adapter for aux cable is missing	2018-12-11	de	The cell phone arrived very quickly, which of course made me happy. Unfortunately, I am a little disappointed that there is no adapter for the aux connection with me which is usually present in the original packaging!	0
iPhone X	64GB	Argent 	Vincenzi Luciana	1	Software ok but wobbly glass ... not closed well. returned	2019-02-25	it	Arrived very quickly. Purchased and placed directly in custody bought together more tempered glass. It works perfectly. A few days later I remove it from my case to look at it a little bit and I notice that the glass is wobbling. I go to an Apple Store to show it and they offer me free glass replacement. I do not agree to have spent so much on a cell phone already to be repaired. I return it with great disappointment. I was unlucky	0
iPhone 6S	16GB	Gray	Luca	1	the iphone does not charge	2017-06-22	it	I waited a week for the iPhone to arrive and I immediately had to send it back because it didn't load. I would have expected amazon to better control the used products as the description says that the product is working properly	0
iPhone 6S	32GB	Silver	Veronica Cabrera	1	Reembolso	2019-06-08	us	Hola el 7 de mayo realice un reembolso porque el paquete no llego a su destino. Como hago para comunicarme con ustedes directamente?	0
iPhone 6S Plus	32GB	Rose Gold	lorraine marshall	1	Volume problem and missing items	2018-12-22	uk	Waiting to hear from seller , even though volume up highest it goes I can’t hear the people very well on the other end of phone. Something wrong with speaker . Also I just noticed it said free plug free sim key and free cleaning cloth but all that was inside the box was free sim key . Really dissapointed considering the other reviews I expected much better .	0
iPhone 7	32GB	Black	"Weidner,Patrick"	5	Top Product	2019-03-02	de	Is just an I Phone. What should you do wrong?	0
iPhone 7 Plus	128GB	Jet Black	WB	1	Disaster	2019-03-18	uk	Received with the camera not working properly - it was third party camera. After repair still not happy because the device had third party glass covering camera. Refund was paid but not for signed for (I sent the device twice).	0
iPhone 7	32GB	Matt Black	S. Delli	1	I feel cheated by the seller, product still under warranty and the seller does not respond	2019-05-18	it	The essential thing to know is that the seller has become foggy, does not respond to complaints, the phone stopped working in March, the warranty ends in June 2019 and it is from March 2019 that I try to assert my rights without getting answer.	0
iPhone 6S	16GB	Space Gray	Nils Müllner	2	irritating	2016-06-17	de	i had a lumia920 before with windows mobile 10. after a job change i got this iphone. practical: "" siri: wake me at x o'clock "". impractical: do not turn off, turn off or clear what you want to do with the alarm. instead, the thing goes into sleep mode. the device has nothing more to offer imho than a windows phone, which costs half. but that with the alarm clock triggers me techniktourette ...	0
iPhone 7	32GB	Black	Tonkbert	2	Lousy call quality, great for apps	2017-08-17	de	Unfortunately miserable call quality (synonymous with the other party, only no problem if both sides use a headset ...), great for apps. Looks good.	0
iPhone 6S	16GB	Gold	Amazon Customer	1	Broken after 2 months	2016-02-18	de	I had bought the Iphone 6s. However, it has turned off after 2 months just like that and can not be switched on again.Bin curious if I get a new one.	0
iPhone 7	32GB	Matte Black	Amazon Customer	1	This phone is the biggest load of garbage I've had	2017-03-23	uk	This phone is the biggest load of garbage I've had. All that's this phone does is freeze, turn off and won't come back on after. And when It eventually comes back on after it turning itself off, it takes ages to come back on. I genuinely wouldn't buy this, I'd wait for the iPhone 7s or iPhone 8 to come out. You might get a better quality phone then.	0
iPhone X	256GB	Space Gray	Fichtl GmbH	1	Definitely not recommended!	2018-11-28	de	The delivery was very fast! This is simply the only thing that was good about it. The smartphone came in an already externally damaged packaging. The original packaging of the iPhone has already been opened! The accessories were simply scrounged in! And the instructions that were included in the normal case were missing completely We will send the product back immediately, as we can not rule out the suspicion of a fake.	0
iPhone 7	32GB	Black	Gregorina	1	iphone is finally not working and seller is not responding	2018-11-06	de	I bought this iphone and immediately it was not working, upon a contact with the seller, he exchanged for another new one.  That one had faulty speakers and I went to apple for warranty, they changed the whole front panel.  Few months later I noticed that speakers were again down and went to apple again, this time apple exchanged for the whole new iphone, which again did not work from the start but unfortunately one year warranty by Apple expired.EU directive imposed a two-year warranty period in the EU and if if manufacturers warranty is limited to one year, the seller should be responsible.  This iphone is a bit older that a year, I tried to contact the seller few times, Amazon customer services contacted seller twice, this seller ignore all.I will have to deal with Amazon now, because it is set by law that there is a two year warranty for products sold in the EU, especially for such costly ones.As for apple... I somehow think that minor retail shops get unsuccessful batches of apple products (lets say the ones that apple cannot expect for sure that all the manufacturing conditions have been fulfilled in a full form).This is my first problem with apple products among iphones, ipads and macbooks but I also never bought before through internet.  I guess not worth it!	0
iPhone 8 Plus	64GB	Space Gray	hello	1	Horrible !	2018-11-09	fr	reception in a bubble wrap, without plug and charger, phone with stripe everywhere I really do not recommend it!	0
iPhone 6S	32GB	Argent	A. Strassburger	2	What is really important	2015-09-26	de	The question is, if you really spend so much money, if you need the new features. Of course, everything is top-processed and innovative. But what about moisture or dust protection? Our smartphone is always with us, holidays on the beach with sand, canoe trip in the water or a birthday party, where one of you the beer or the coffee accidentally on the phone. Others offer more for less. But as a prestige object it is a real recommendation.	0
iPhone 7	32GB	Black	Fabian L.	1	Delivered goods did not match the ordered (new vs. refurbished)	2018-07-31	de	I ordered and paid for an iPhone 7 declared as "new", but got a used one. I could easily check this by the serial number. Allegedly an oversight of TI-Trade; In my opinion, a nasty scam, because it was really very original wrapped turned - at this point I would like to pronounce a fraud warning.	0
iPhone 8	64GB	Space Gray	alogo maria	1	Nothing special	2018-08-02	fr	Do not change the other iPhone 6.7! If you want to change, go for X, which is different because of its novelty and its design.	0
iPhone XR	128GB	Coral	Amazon Kunde	4	Forget the overpriced XS !!	2019-01-11	de	I'll make it short.Display: great !!!, our today's spoiled youth should be an ophthalmologist, I see neither a blurred nor pixelated display! (I'm 38!) Performance: As always Apple typically flawless! Battery: wow !! No comparison to my after 2 weeks resold and very disappointing i phone XS.Has full 2 ​​days with intensive use! Price still ok for me, but could still be 100 ¬ cheaper, but so what, who wants quality must stop paying more ,	0
iPhone 6S	32GB	Silver	Diane	2	Disappointed with purchase	2019-02-01	uk	Now I’ve been using the phone for a little while, I find myself changing the original review. This phone keeps needing to be rebooted. Very disappointed with it. None of my previous iphones had this problem.	0
iPhone 6S	32GB	Gray	ioanna	1	BATTERY NOT WORKING DEFECTIVE	2019-03-27	it	I bought this phone and the battery stayed at 17% even if I put it in charge for hours. This defect was unpleasant, I requested a refund immediately.	0
iPhone 7	128GB	Black	Transistor	1	Have tested the iPhone 4 weeks and now I've grown the S7edge. Apple has such a bad service, unbelievable	2016-11-12	de	It is and remains a completely overpriced device. Pray that the device will never fail, you will be treated by Apple as Bitsteller.	0
iPhone XS	64GB	Gold	Magdalena García	1	¿completamente desbloqueado? NO	2019-03-06	us	A pesar de que el producto dice ser completamente desbloqueado, no funciona con cualquier PIN.Aguardo una respuesta de forma inmediata, ya NO cumple con las caracteristicas de un teléfono DESBLOQUEADO.	0
iPhone 6S	16GB	Gold	Brigitte Skirlo	1	Was sold as new, but was demonstrably used!	2019-05-13	de	The device was sold as new. Unfortunately, the battery change by a specialist turned out to be a used device. There was no glue between the display and the device, when opening loose screws fell out, the vibrato component was not in the designated place, it was not an original Apple display in the device etc .. This is clearly fraud and should not be tolerated under any circumstances: ((((	0
iPhone XR	128GB	(Product) Red	jane	1	iphone XR_126G	2019-07-15	uk	print-off on the new phone!! and big price drop, with £120 drop. try to contact with them, but no replacement for the phone due to print-off problem.	0
iPhone 7	32GB	Matte Black	AMX	1	IOS	2018-02-09	uk	I am beginning to find that the IOS controls and configurations are getting increasingly and unnecessarily convoluted and complicated, and therefore counter intuitive and counter productive. The phone is also very expensive. All in all, rather dissapointed and will be switching to Android soon.	0
iPhone 7 Plus	32GB	Black	Phil	1	Not unlocked	2018-12-19	us	The phone is advertised by Amazon as unlocked, it’s not. It is locked to Simple Mobile.	0
iPhone 7	32GB	Black	saad.malik20	4	other then that its fine.	2018-05-08	us	some time touch stop working, other then that its fine.	0
iPhone 6S	32GB	Gray	Elisa	1	Not even a month of use, cell. does not start charging any more	2019-04-06	it	Purchased less than a month ago, after I could not recharge the phone due to force majeure, this was obviously off due to low battery. Connected to the cable the following day, battery does not give signs of life, it does not charge, and even with the combined buttons you can start the phone. Update: after a month the phone has not been repaired because I have to disable a function. I am informed that I will be returned and then once I reset I will have to send it back for repair. after a few days they insist on replacing the mobile phone or making me a refund, despite insisting that I have work data inside and I have to recover it. I would like to know where the phone is? Amazon disappointment.	0
iPhone 7	32GB	Matte Black	Jonathan Shore	2	Not as good as the 6	2016-12-28	uk	I'm sufficiently sad to have had every iPhone model that's come out - and am no fan of Android phones at all. But...the iPhone 7 simply isn't worth it. I have an iPhone 6 for work so can do head-to-head comparisons. Now maybe it's because the uk iPhone 7 has the apparently rubbish intel chip, but the 6 outperforms the 7 significantly in two key respects - mobile signal reception and wifi reception. I park the two phones next to each other and while the 7 struggles to get signal, the 6 is happily connected.Whatever else a smartphone is meant to do, making phone calls and going online is where it all starts from and in this respect the 7 is a  wry expensive fail. The camera however is superb, can't begin to say how much better the pictures are - a real step forward in quality.But for the basics, the 7 doesn't live up to its price tag and I find myself having to use the 6 on frequent occasions (travel a lot for work) because the 7 is floundering. Can't deny that although I will probably be in the queue when the 8 comes out I feel really let down by the 7.Yes, it's waterproof too but given my absentminded habit of giving my phones regular rides in the washing machine, I'm not sure it's that waterproof. The 7 is a bit like visiting an Apple Store at the weekend - it looks fantastic but is ultimately totally frustrating because you can't get any service.	0
iPhone X	64GB	Space Gray	g9486	2	It is in the old pots that we make the best soup	2019-01-26	fr	I kept my iPhone X a year and I resigned myself to return to a model with digital recognition, I never adapted to the facial recognition. The unlock is almost instantaneous on an iPhone 8 by pressing the Home button on the screen. iPhone X must: 1- that the device understands all one wants to unlock it by analyzing the movements of the device, often either he understands nothing at all, or it triggers facial recognition too early. 2- You have to catch the small tab at the bottom of the screen and put it up so as to indicate to the phone that you want to use it (I never understood why they put this step) If we add the many editors of apps that have not updated their apps for the screen of the iPhone X and the repeated bugs of iOS on iPhone X, I can say that it is with undisguised joy that I return to the iPhone 8.	0
iPhone XS Max	64GB	Gold	sheniqua Taylor	2	Be careful Phone did not last 10 minutes before it ran hot	2019-06-17	uk	I don't know what happened here, the delivery was great, but for some strange reason after opening and fully charging the phone while i was trying to set it up the phone started to get hot not sure why but i was so hot i had to turn it off and left it for a bit, i used the charger it came with to charge so i don't know why it was running hot but it did. when i turned it back on to continue with the set up lol it got hot even faster. so yea i was left with maybe 30 minutes of the phone usage before i packed it up and drop it off to return by Hermes which was a whole terrible experience. I have not heard from anyone since it was return June 1, 2019, even the tracking information is f-ed up. So yeah if you want a phone that will work please just go to Apple it will be worth it trust me	0
iPhone 7	32GB	Black	Amazon-Kunde	1	Apple iPhone 7 Smartphone	2016-10-02	de	Frightening how cheap the new iPhone 7 looks like. Not to mention the design, which looks rather old-fashioned, and for that price. But every day a stupid person gets up.	0
iPhone 6S Plus	128GB	Space Gray	horvath	4	i phone	2018-09-26	fr	some defects that I hope will not increase (two spots inside the screen that for now remains small and not disturbing ... but at this price I will like better)	0
iPhone XR	128GB	Red	algi	4	A pretty jewel	2019-01-27	fr	Operating problems forced me to return my iPhone XR. It was immediately replaced by Amazon, with another identical IPhone that works perfectly.	0
iPhone XS Max	64GB	Space Grey	Amazon Customer	5	Incredible phone	2018-12-18	uk	At £100 off at Amazon this phone is worth it.	0
iPhone 8	64GB	Space Gray	Othman FAIQ	1	Scam: powder instead of iphone	2018-06-09	fr	I just received the package this morning (Saturday), The big surprise: I open and I do not find my Iphone 8 but a pack of powder! I am very angry and disappointed and I feel scammed! The delivery failed twice (Thursday and Friday) on the pretext that the driver finds the door of the building is closed (like all buildings !!!!), without even try to call me. Then I call Amazon on Friday to tell them that the driver does not call me to open him and they schedule a new delivery on Saturday. Saturday morning I stay at home and wait for a while and I will check my mailbox in case and boom I find the package! Without even I sign it drops! so glad to receive my iphone 8 I do not pay attention to this detail .. and I go open the package quickly to be surprised by its content! powder !!!!! a packet of powder with a net pea of ​​500g! Calling them, Amazon can do nothing for me since it is the weekend and I have to wait until next Wednesday! I do not know what to do anymore !!	0
iPhone 7 Plus	128GB	Black	Not so good	1	Awful	2019-07-14	uk	Note working	0
iPhone XR	64GB	Blue	Andriana	4	Product billing	2019-06-04	fr	Good product But I also want to have the invoice for proof of purchase please	0
iPhone 7 Plus	128GB	Black	RERO	3	nothing to say on iphone but ...	2018-01-01	fr	iphone no scratch impeccablepar against acessoire ... worries adapter jack is not adaptable on apple ... could you send me one that goes with the laptop if I am obliged to buy one ...	0
iPhone 8	64GB	Gold	Kyoshi	4	Not revolutionary but a good smartphone anyway	2017-10-10	fr	A good smartphone but nothing revolutionary.That's the summary of reviews in general.So ... Not where to start? Often considered a simple evolution of the iPhone 7 (aesthetic very close except the glass back of the latest model), the iPhone 8 brings a few changes: - Faster (thanks to the A11 chip) - Better photo processing (you will find several tests on the net) - Compatible with the Qi charge ... And this is the novelty. Indeed, you can now charge the iPhone by putting it on a charger Qi ... No need to connect the iPhone.The nice thing also is that the memory capacity starts at 64gb (64gb or 256gb in fact). ... Despite this little change, the iPhone 8 (Plus) is a very good phone and we find the qualities of the brand.The screen is very good, the overall finish is very good, powerful and made beautiful photos (Obviously ... Accustomed to SLR ... Difficult to judge a smartphone on it ... But to troubleshoot, I find it convenient). Autonomy is good from the comparisons that we find ... Sorry ... I do not buy an array of Smartphone to compare:) ... Although I am amazed at the autonomy of my Samsung A5 2016 job that I only charge twice in the week (except for Cisco Spark and checking mails ... The use is only by telephone). Speaking of battery life ... The battery capacity is down compared to the iPhone 7 but it is obviously inconsequential ... Good ... For those who know the developments Apple, you will know that there is more to jack jacks (but the adapter is provided ... note that it can not be used wired). Several other brands have followed the movement ... Even Google who have made fun of Apple on this point ... By cons ... the iPhone 8 Plus is a heavyweight office compared to its competitors.If I compare the iPhone 8 Plus (offered to my wife) and my OnePlus 3T ... We feel the difference.Why so few changes? Just because of the iPhone X that will be released soon to write these lines.Quelles differences? Here is what I selected (in favor of the iPhone X of course): - Better screen resolution - Screen that occupies the entire surface before (or almost) - Facial identification.A still note for this last point, what the facial recognition of the iPhone X has nothing to do with that of the last Samsung that you can unlock with a simple photo (bravo security). Indeed, if I do not say nonsense, he There are 30000 IR control points on the iPhone X ... So, if you are in the dark, you put glasses or change your cuts, it will work (theoretically for now ... seen apart at the Keynote where we saw it in action ... And again ... There was a loupé ...). So ... Buy or not this iPhone 8 (Plus)? Ben ... Clearly, if you already have an iPhone 7 (More) ... The interest is minimalThe Smartphone is very expensive ... Damn ... 900 € !!! Well ... It is true that given the time that people spend above ... It's prorated more profitable than a lot of other things.The Smartphone remains a recurring budget for more and more people.The real question will remain ... iOS (the Apple system) or Android (a huge choice and for all budgets)? These are two different philosophies ... For my part, we chose an iPhone (and more specifically iOS) when: - we want to be quiet with a stable system - we want a smartphone turnkey without having to search right and left this or that application - we want to keep a system up to date (with Apple, when a new version of iOS comes out ... The update is available on all iPhone versions at the same time time...Except for the models of 5 years ago) - it does not necessarily hack his phone (easier on Android). I have the following iPhones: EDGE / 3GS / 5 / 5S and my wife the 4 or the 4S.This works ... Never had any particular problem (small bugs exist but it is rare and does not last) .Good, the only thing that can be boring is that we do not really feel to change the phone from one iPhone to the other. There are of course several improvements systems, etc ... A better responsiveness and everything ... But the system itself remains the same.On may be trying to go elsewhere ... But we are not necessarily conquered elsewhere ... My wife went on a OnePlus One after her iPhone ... She is not a fan of Android at all (and the phone has made the soul so good ). It has chained a number of problems ... Two trips / return service ... And more ... Just after the last service, the phone still has a problem ... But since the guarantee was passed and obviously at OnePlus they do not guarantee their repair (which had just been realized ... Two weeks ready) ... Not wanting to fight any longer.She is happy to have an iPhone again.My ... After my iPhone 5S, I went to Android with a OnePlus 3T.Pourquoi? Because of the price ... Do not hide the face.Some things irritated me on Android (to manage several mails ... A pleasant and free client ... Apart from BlueMail who did not always recover my mails automatically ... Pay to have a calendar in CalDAV while it is native on an iPhone, etc ...) but I'm not disappointed either. It's nice to be able for example to manage its downloads as if you were on your computer ... Or to add music without going through an application ... Have dual SIM (to manage the SIM card of work and that perso), etc.I will definitely go back to iOS for my next phone.That's my opinion ... :)	0
iPhone XR	64GB	Black	Amazon Kunde	2	Disappointing except for the operating system.	2019-03-02	de	Worst display I've ever seen in a smartphone in this price range. Have times on the Samsung Galaxy S7 parallel to Xr run a video. The S7 is much better. The black value of the Xr is ridiculous. Other manufacturers make that much better. Amoled makes it possible. Too bad, because I find the operating system Umschlagbar and the quality is also true. Iphone XR is most likely going back. Ahja, the camera I think synonymous not necessarily good.	0
iPhone XS	256GB	Gray	Nicola I.	2	"" Portrait "" mode problems of the camera	2019-03-27	it	Purchased "Used" - As new - The item is in its original packaging, but the packaging is damaged. "", When it arrived the product actually looked like new, without the slightest scratch, fluid software and undamaged battery. that the Face ID worked, pity though that browsing in the various features I found that the Animoji function did not work, oh well I could also fly over because I find it not very useful, BUT the most serious problem is the malfunction of the "portrait" mode of the iPhone , initially with the rear camera I hadn't noticed, thinking it was me who hadn't set something, but as soon as I switched to the front camera, the image became fuzzy (as shown in the image attached to the review). Contact Apple immediately, the which, following a diagnosis, detects a malfunction in the TrueDepth camera (then Animoji and mode "" portrait ""). I will return the A-device as soon as possible mazon.	0
iPhone 7 Plus	32GB	Black	Ma’lonkah	1	Thanks for your help on returning	2018-09-10	us	This product was horrible, was promised 100%  guarantee only for me to receive the phone and let’s just say it all went left. But! The company was great with helping me fix the problem and for that 2.5 stars	0
iPhone 7	32GB	Rose Gold	Client d'Amazon	3	IPhone 7	2017-11-25	fr	Very good device the only problem is that the phone heats up very quickly the problem is that not fake not stay long on this iPhone and turn off at least 2 hours to be able to go	0
iPhone XS	64GB	Gold	Magdalena F.	3	Unlocked	2019-01-18	de	i buy a fully unlocked phone but when arrived the box says locked to simple mobile. it this work with other company?	0
iPhone 8 Plus	64GB	Space Grey	Zed Ali	1	Be careful when returning any item	2019-01-23	uk	Would never buy again	0
iPhone XS	64GB	Space Gray	Amazon Customer	1	Cant wait to go back to android!	2019-05-31	us	I just got my first iPhone ever, and Ive had it for over a month...and its TERRIBLE!-phone volume controls all sound, including alarms, ringtones, media and any bluetooth device youre connected to. horrible setup. especially if you want the Alarm you have set to wake you up, but dont want phone calls or messages to bother you. and for the bluetooth this is really frustrating because you cant use the full volume range of the speaker without distortion of the sound, because you cant balance the input volume to the speaker with the playback volume.-touch response is terrible. about half the time I try scrolling up, the phone scrolls left to the previous page or screen. rather frustrating, and just plain annoying-battery life okay, but not great, especially if youre actually using the phone, it dies fast-camera takes amazing photos, AS LONG AS YOU ARE VIEWING THEM ON AN APPLE SCREEN, as soon as you display them on anything else, its just another photo from a phone camera- no expandable storage? oh thats right, so they can sell me cloud storage thats so clearly easy to hack...no thanks- lots of other pointless and not intuitive operation methods, like, to edit an alarm, you have to select edit, then the alarm, and to edit another, you gotta go back up and hit edit again....why design this way? zero user fluidity...ALSO, wanna click on the notification to open it? nah, you gotta slide to right to open and left for other operations, or slide it up for a faster go away response, which is the same as swipe left option, so again redundant, non-fluid operation that could easily be designed another way.My first iPhone will be my last. I gave it some time, but this entire setup and function design is really far from intuitive or fluid. I finally truly realize why everyone I know in program engineering or computer science has an Android.I know theyre popular, but like...The united states is literally known in part for its poor education and stupidity...no wonder this country loves this phone!!!	0
iPhone 7	128GB	Rose Gold	Caro	1	HANDS OFF	2017-04-06	de	When today the package arrived with me, I was happy as a small child. However, this joy did not last long. Because in my package, although the whole accessory was ONLY NO IPHONE !!!!!! AMAZON, YOU WANT TO TRANSFER TO ME ONLY I AM ON 180.	0
iPhone 8	64GB	Space Gray	Ein Kunde	4	If only Apple is available ...	2019-06-20	de	Unfortunately, I had to take an iOS smartphone and then opted for an iPhone 8. Finally wireless charging at Apple, but MUCH TOO GREAT !!! Why are there no more 4 "" smartphones? I do not need a tablet, but a phone!	0
iPhone 7 Plus	256GB	Black	Buggi	1	regenerati srl - oh no !!!	2018-05-21	de	The iphone is great. The dealer rigenerati srl but not. He is not faithful. I had ordered a refurbished device. This should be delivered in 8 days. If such a device is offered, it is assumed that it is already at the dealer. After 8 days still no device. Dealer declares he has problems with his supplier ?! I needed the device urgently. Some e-mails written and also asked that they let me out of the contract, so I can get a replacement. This was granted only after the involvement of Amazon another 2 days later. Stay away from rigenerati srl !!!	0
iPhone 7	32GB	Matt Black	Edoardo	3	Good product, shame the charger!	2018-06-18	it	Item arrived earlier than the estimated date of purchase. The phone is in good condition and even the signs of wear, mentioned in the offer, are so small as to be considered irrelevant. Only flaw found the charger is not original (cinesata). I wonder why the seller can save on an element of fundamental importance?	0
iPhone 7	32GB	Matt Black	Arthur B.	5	Fantastic	2019-05-30	it	Fantastic, Apple never disappoints!	0
iPhone 7	128GB	Black	delpackulati	1	Useless to iOS 11 update	2017-11-24	de	After the update to iOS 11, the phone barely works. The screen freezes constantly. Apps crash. Battery empty much faster	0
iPhone XS	64GB	Argent	nequecaur chuburu	1	Brand new and scratched phone ??	2019-01-24	fr	Buy to work and staff and there phone by Amazon very disappointed occadion product With scratches hey that say it's the last time and I would not make good pub for a phone over 1000 euros	0
iPhone 7	128GB	Matt Black	Federica Di Giulio	1	very bad	2018-07-14	it	I had a problem with the phone and no one just spun off the barrel the seller never gave an answer .. although I still had the guarantee .. never again !!!!!!	0
iPhone 7 Plus	128GB	Black	Oktay Altungeyik	2	attention non french box = false	2017-07-26	fr	I learned a lot if the box is equipped with a charger English sector it is just wrong! Open safari and you'll see open settings and information and you will see that it is iOS 9!	0
iPhone 8	64GB	Gold	Amazon Customer	1	SCREEN DAMGED AND CAMERA	2018-07-08	uk	I got and it was rubbish the screen was broke and so was the camera.And the bad thing is that now I can return it what a waste of my moneyI’m applaud I want a new one now!	0
iPhone XS	64GB	Space Gray	tm	2	Face ID is a terrible alternative	2019-05-28	de	iPhone stepped back in technological evolution with removal of Touch ID. The alternative we have been provided with, Face ID, is less secure and more temperamental. Especially, when you are not in an ideal situation facing it.There are plenty of occasions when one needs to unlock ones phones without having to face it....Fail....	0
iPhone 7 Plus	32GB	Rose Gold	evelyn kwabiah	1	One Star	2017-11-18	uk	the product cane broken too me very upset about it	0
iPhone XS	64GB	Gold	Sebastien	1	SCAM	2018-12-06	fr	BIG SCAM! Do not buy this product! I received an Archos! 1200 € for an Archos!	0
iPhone XS	64GB	Space Gray	Deko	1	Bad final inspection. Price / performance - not acceptable	2019-01-31	de	For over 1000 € so bad displays. I bought two Xs. One is good and the second has clear reddish up and to the right. This is very bad for so much money. Exchange is not my thing. Right side has a gap between the display and the case, which you can not only see, but the edge is therefore also sharp. The device is fast, fluid and good, but so poor final inspection for so much money ... No, I'm not satisfied! Only one star because of much too high price and bad final control. Today I have noticed that the power button can only print above and below it totally jammed. One device and three quirks.	0
iPhone 8	64GB	Gray	Cliente Amazon	1	Never received	2018-07-05	it	I purchased this iPhone on June 21st, on June 25th I point out to the seller that the shipment is stopped. I urge Nexive not to deliver the iPhone but a few days later it reports the shipment as delivered. Absolute panic forwarding complaint to Amazon. Delivery rescheduled for July 2nd ever. Item never received got refund after 7 days. Amazon has certainly repaid but it is absurd that it allows certain sellers to use its platform. Bad behavior from everyone bad experience. Maybe I was unlucky but the other reviews are all real? I strongly doubt. Amazon gets worse with the passing of months. I will always be unlucky but I buy almost nothing.	0
iPhone X	64GB	Space Gray	Amazon Kunde	1	Too weak	2018-08-17	de	I have never had so bad reception with another cell phone and waited so long for loading YouTube videos. My iPad 2 loads in the same wlan in the double speed. With this phone did not convince.	0
iPhone 7 Plus	32GB	Silver	malkia elisabeth	4	no it is not locked	2019-04-23	us	YES!! it is not unlocked  and it took me about 2 days to unlock it .but the pageant it good but at the back of the earphones, where was not adapter the phone works perfectly and the plan simply mobile is really bad I pay 20-50 a month but in like 2 weeks they took my hotspot and I had to pay more for it naw I pay 120$ a month and that is bad DO NOT GET THIS PHONE ONLY IS U WANT SIMPLY MOBILE AND NO OTHER PLANS THAT U CAN GO TO .	0
iPhone 7 Plus	32GB	Black	Russell Johnson	1	Not unlocked !!!	2018-12-27	us	Not unlocked!! Now I either send it back or spend $100 to get it unlocked. Piece of crap ruined my daughter's birthday present cuz she could not use it.	0
iPhone 7	256GB	Rose Gold	Amazon Customer	1	sold me a damaged phone	2018-10-24	uk	Ever since I’ve got this phone had a problem with it keeps on freezing not working speaker not working sold me a damaged phone	0
iPhone 8 Plus	256GB	Space Gray	calcifer	2	1300 euros for the same design as the iphone 6	2017-09-28	fr	The price is excessively expensive, it's the same aspect as the iphone 6, there is just the chip a11 that boosts performance and a better camera but it is not worth this sum clearly not, prefer an iphone 7 plus or the iphone 7	0
iPhone 8	64GB	Gray	Roberto Sanarica	1	It would be nice	2019-03-29	it	It would be perfect but the camera didn't work. Repaid in full	0
iPhone 7	32GB	Matt Black	Salvatore D.	5	Perfect	2019-06-09	it	Great cell phone, apple never disappoints	0
iPhone 7	128GB	Gold	SEDOU	4	An iphone a little less fragile but a real heater	2017-08-21	fr	If you have the habit of wearing your phone to your ear you will quickly changed your mind. The phone heats up and the hands-free kit is almost a necessity. But other than that, it's an iPhone 6 in a little faster.	0
iPhone 6S	16GB	Gold	Lasinger Mario	1	Battery completely broken	2018-12-05	de	Get a whole new phone and battery broken .. Madness can not charge more like 2%	0
iPhone 7 Plus	128GB	Black	Jonas Schlömer	2	Apple quality and service decreases.	2017-09-07	de	I am longtime Apple user. Positive: Always the current IOS, current apps and clean running OS Negative: Already twice the camera module was exchanged with me. The color dissolves around the camera. Now the third time, Apple denies a defect and does not repair the camera. Now are replaced color parts in the camera and my 1000 ¬ Smartphone is broken.	0
iPhone 7 Plus	32GB	Black	David Taylor	1	Review	2019-01-13	uk	It's advertised like it brand new it dose not say they are second hand but reading reviews it sounds like they are.	0
iPhone 7 Plus	128GB	Jet Black	Amazon Customer	5	This looks good	2017-08-22	uk	Looks pretty legit doesn't it	0
